Row	Sample	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	First Attempt	Incorrects	Hints	Corrects	Condition	KC (Original)	Opportunity (Original)	Predicted Error Rate (Original)
1	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	BUILDING_A_SIDEWALK	1	(POOL-AREA QUESTION1)	1996-02-01 00:03:49	1996-02-01 00:03:49	1996-02-01 00:03:49	1996-02-01 00:03:49	0	0	.	correct	0	0	1	.	ALT:PARALLELOGRAM-AREA	2	0.2827
2	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	BUILDING_A_SIDEWALK	1	(POOL-AREA QUESTION2)	1996-02-01 00:03:58	1996-02-01 00:04:24	1996-02-01 00:04:24	1996-02-01 00:04:24	26	26	.	correct	0	0	1	.	ALT:PARALLELOGRAM-AREA	4	0.2783
3	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	BUILDING_A_SIDEWALK	1	(POOL-AREA QUESTION3)	1996-02-01 00:04:31	1996-02-01 00:04:43	1996-02-01 00:04:43	1996-02-01 00:04:43	12	12	.	correct	0	0	1	.	ALT:PARALLELOGRAM-AREA	6	0.2739
4	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	BUILDING_A_SIDEWALK	1	(LARGE-RECTANGLE-AREA QUESTION1)	1996-02-01 00:03:49	1996-02-01 00:03:53	1996-02-01 00:03:53	1996-02-01 00:03:53	4	4	.	correct	0	0	1	.	ALT:PARALLELOGRAM-AREA	3	0.2805
5	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	BUILDING_A_SIDEWALK	1	(LARGE-RECTANGLE-AREA QUESTION2)	1996-02-01 00:04:24	1996-02-01 00:04:28	1996-02-01 00:04:28	1996-02-01 00:04:28	4	4	.	correct	0	0	1	.	ALT:PARALLELOGRAM-AREA	5	0.2761
6	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	BUILDING_A_SIDEWALK	1	(LARGE-RECTANGLE-AREA QUESTION3)	1996-02-01 00:04:43	1996-02-01 00:04:46	1996-02-01 00:04:46	1996-02-01 00:04:46	3	3	.	correct	0	0	1	.	ALT:PARALLELOGRAM-AREA	7	0.2717
7	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	BUILDING_A_SIDEWALK	1	(SIDEWALK-AREA QUESTION1)	1996-02-01 00:03:53	1996-02-01 00:03:57	1996-02-01 00:03:58	1996-02-01 00:03:58	5	.	5	incorrect	1	0	1	.	ALT:COMPOSE-BY-ADDITION	4	0.5943
8	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	BUILDING_A_SIDEWALK	1	(SIDEWALK-AREA QUESTION2)	1996-02-01 00:04:28	1996-02-01 00:04:31	1996-02-01 00:04:31	1996-02-01 00:04:31	3	3	.	correct	0	0	1	.	ALT:COMPOSE-BY-ADDITION	5	0.5943
9	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	BUILDING_A_SIDEWALK	1	(SIDEWALK-AREA QUESTION3)	1996-02-01 00:04:46	1996-02-01 00:04:49	1996-02-01 00:04:49	1996-02-01 00:04:49	3	3	.	correct	0	0	1	.	ALT:COMPOSE-BY-ADDITION	6	0.5943
10	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	TWO_CIRCLES_IN_CIRCLE	1	(CIRCLE-AREA_A QUESTION1)	1996-02-01 00:00:00	1996-02-01 00:00:00	1996-02-01 00:00:01	1996-02-01 00:00:01	1	.	1	incorrect	1	0	1	.	ALT:CIRCLE-AREA	1	0.6985
11	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	TWO_CIRCLES_IN_CIRCLE	1	(CIRCLE-AREA_O QUESTION1)	1996-02-01 00:00:01	1996-02-01 00:00:13	1996-02-01 00:00:13	1996-02-01 00:00:13	12	12	.	correct	0	0	1	.	ALT:CIRCLE-AREA	2	0.6761
12	All Data	Stu_c0bf45c22dc46067350d304ce330067e	Unit Area	TWO_CIRCLES_IN_CIRCLE	1	(CIRCLE-AREA_S QUESTION1)	1996-02-01 00:00:13	1996-02-01 00:01:22	1996-02-01 00:01:22	1996-02-01 00:01:22	69	69	.	correct	0	0	1	.	ALT:CIRCLE-AREA	3	0.6529
